PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-04,15:06:27.08,1,1,"Lax, Chet",1000147384,Left,WRI_RAI,"Baker, Dillon",1000034148,Right,MIA_RED,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.55579,-2.807538,4.825682,2394.512357,135.669064,10:30,5.7699,-2.13634,6.51734,-21.48568,13.93178,-12.6165,1.39195,1.2509,81.08992,-6.848538,2.545016,0.428332,,,,,,,,,,,,7.8426,8.32288,1.80469,50,5.56385,-10.25515,-126.91914,-6.84807,12.94999,22.97973,-18.43102,WRI_RAI,MIA_RED,NischwitzField,D1,HORZ,20250304-NischwitzField-1,281783a0-f934-11ef-80d2-3f9c0b8cf34f,87.99825,,,6.46587,,,,,,,fc0452f6-1165-4dd0-b135-24a75f06824f,2025-03-04,20:06:27.08,2025-03-04T15:06:27.0827520-05:00,2025-03-04T20:06:27.0827520Z,,v3,471496,471355,,"Manley, Nathan",1000093427,Right,WRI_RAI,07d17c39-3c01-4a31-b182-0b94fcc623a1,53.98669,-127.63892,11.48986,5.76931,-6.27077,-9.21551,2.13226,-10.66077,6.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-04,15:06:37.28,1,2,"Lax, Chet",1000147384,Left,WRI_RAI,"Baker, Dillon",1000034148,Right,MIA_RED,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,86.31004,-1.473638,3.41912,2247.751099,129.406766,10:15,5.89473,-2.0483,6.43047,-26.25809,9.90497,-10.90831,2.34938,0.18902,80.47807,-6.367624,1.444674,0.432817,89.30949,21.84082,-17.277039,1044.615337,103.61494,36.19725,-36.93131,274.2923,263.38791,-23.055493,3.38328,6.52339,5.81268,1.80953,50,5.77742,-7.10442,-125.49898,-4.01189,10.59988,20.91174,-22.72904,WRI_RAI,MIA_RED,NischwitzField,D1,HORZ,20250304-NischwitzField-1,2e331510-f934-11ef-80d2-3f9c0b8cf34f,87.08641,40.63062,,5.83198,,,,1.79687,2.46609,-0.21152,fc0452f6-1165-4dd0-b135-24a75f06824f,2025-03-04,20:06:37.28,2025-03-04T15:06:37.2887552-05:00,2025-03-04T20:06:37.2887552Z,LineDrive,v3,471496,471355,,"Manley, Nathan",1000093427,Right,WRI_RAI,ae9f9d98-b3c8-4386-9314-b0878738217f,54.0742,-126.17603,10.45587,5.8954,-3.27599,-11.36452,2.04511,-7.44761,5.29994,145.522557,1.79679,116.10449,-23.16967,5.60699,-1.23736,0.26303,-0.04951,0.00608,-0.00031,2.46613,48.72627,-16.42531,0.53059,0.0524,-0.03641,0.00634,0.00058,-0.00018,-0.21169,-36.10134,0.72416,0.67611,-0.38423,0.15777,-0.04555,0.00753,-0.00052,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-03-04,15:07:05.35,2,1,"Lax, Chet",1000147384,Left,WRI_RAI,"Zarlingo, Anthony",1000113533,Right,MIA_RED,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,88.10978,-1.00681,3.314714,2350.064938,126.286421,10:15,5.77932,-2.2517,6.58597,-24.89745,9.80804,-12.0315,2.78024,-0.21327,81.52693,-5.683696,1.130463,0.424005,,,,,,,,,,,,7.19941,5.70788,2.02941,50,5.69958,-6.9834,-128.10556,-2.97784,12.0982,23.68112,-22.58225,WRI_RAI,MIA_RED,NischwitzField,D1,HORZ,20250304-NischwitzField-1,3ee782b0-f934-11ef-80d2-3f9c0b8cf34f,88.8963,,,6.58285,,,,,,,fc0452f6-1165-4dd0-b135-24a75f06824f,2025-03-04,20:07:05.35,2025-03-04T15:07:05.3597184-05:00,2025-03-04T20:07:05.3597184Z,,v3,471496,471355,,"Manley, Nathan",1000093427,Right,WRI_RAI,0eea3198-793a-4ef5-8f43-8d2c1b8b5590,53.91829,-128.82785,11.84056,5.77991,-2.28907,-11.29113,2.24803,-7.3524,6.0491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-04,15:07:44.28,2,2,"Lax, Chet",1000147384,Left,WRI_RAI,"Zarlingo, Anthony",1000113533,Right,MIA_RED,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.64782,-1.585382,3.324921,2284.425854,143.252418,10:45,5.86473,-2.05384,6.55591,-20.85509,14.08375,-9.63855,2.67029,0.19513,80.63472,-5.562086,1.576742,0.425427,,,,,,,,,,,,5.99528,8.20319,1.82762,50,5.74606,-7.08963,-128.58933,-4.13221,9.97837,28.14999,-18.52084,WRI_RAI,MIA_RED,NischwitzField,D1,HORZ,20250304-NischwitzField-1,560b4710-f934-11ef-80d2-3f9c0b8cf34f,88.599,,,8.0131,,,,,,,fc0452f6-1165-4dd0-b135-24a75f06824f,2025-03-04,20:07:44.28,2025-03-04T15:07:44.2875904-05:00,2025-03-04T20:07:44.2875904Z,,v3,471496,471355,,"Manley, Nathan",1000093427,Right,WRI_RAI,770e3b0b-5284-41fa-83e9-782826de5382,53.94322,-129.44968,14.075,5.8637,-3.56616,-9.26042,2.04896,-7.3946,4.98918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-04,15:07:58.14,2,3,"Lax, Chet",1000147384,Left,WRI_RAI,"Zarlingo, Anthony",1000113533,Right,MIA_RED,Undefined,1,Top,1,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.52282,0.174034,3.046044,2284.498632,140.128788,10:45,5.69961,-2.11139,6.5107,-24.03529,12.21654,-9.31453,3.85661,-0.08952,79.54379,-4.366893,1.357873,0.433348,,,,,,,,,,,,5.64902,6.69181,1.90222,50,5.70114,-6.33824,-125.73334,-0.29584,9.10422,23.87807,-21.38922,WRI_RAI,MIA_RED,NischwitzField,D1,HORZ,20250304-NischwitzField-1,5e488000-f934-11ef-80d2-3f9c0b8cf34f,86.97969,,,6.97903,,,,,,,fc0452f6-1165-4dd0-b135-24a75f06824f,2025-03-04,20:07:58.14,2025-03-04T15:07:58.1466112-05:00,2025-03-04T20:07:58.1466112Z,,v3,471496,471355,,"Manley, Nathan",1000093427,Right,WRI_RAI,6aff04d4-8d19-4362-99dd-39617c8ed326,53.99062,-126.48893,11.93904,5.69979,0.381,-10.69461,2.10735,-6.62633,4.55211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-04,15:08:12.56,2,4,"Lax, Chet",1000147384,Left,WRI_RAI,"Zarlingo, Anthony",1000113533,Right,MIA_RED,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.41462,-1.805111,3.047197,1754.518956,137.184903,10:30,5.72184,-1.89344,6.46879,-34.05726,8.4891,-6.87091,1.22292,0.33535,74.5257,-8.108779,1.801201,0.469464,,,,,,,,,,,,4.30162,5.17559,1.6814,50,5.57882,-5.92511,-115.51866,-4.58705,5.93589,17.24078,-25.0321,WRI_RAI,MIA_RED,NischwitzField,D1,HORZ,20250304-NischwitzField-1,66ff7cd0-f934-11ef-80d2-3f9c0b8cf34f,80.2882,,,4.88891,,,,,,,fc0452f6-1165-4dd0-b135-24a75f06824f,2025-03-04,20:08:12.56,2025-03-04T15:08:12.5678080-05:00,2025-03-04T20:08:12.5678080Z,,v3,471496,471355,,"Manley, Nathan",1000093427,Right,WRI_RAI,4ebf55b6-b8e3-435a-b1ca-5dc286a7229a,54.03593,-116.11945,8.62039,5.72346,-3.71476,-12.51605,1.89148,-6.13195,2.96794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-04,15:08:27.62,2,5,"Lax, Chet",1000147384,Left,WRI_RAI,"Zarlingo, Anthony",1000113533,Right,MIA_RED,Undefined,1,Top,1,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.53076,-1.347772,4.255282,2436.510131,150.616988,11:00,5.83348,-1.96199,6.35934,-20.71163,13.20682,-6.91075,2.8634,1.38577,82.95837,-5.237785,3.009342,0.419169,,,,,,,,,,,,4.61725,7.50863,1.65631,50,5.72563,-9.40114,-129.96662,-3.67978,8.01185,23.54223,-19.14514,WRI_RAI,MIA_RED,NischwitzField,D1,HORZ,20250304-NischwitzField-1,6ff7c860-f934-11ef-80d2-3f9c0b8cf34f,89.92174,,,6.5724,,,,,,,fc0452f6-1165-4dd0-b135-24a75f06824f,2025-03-04,20:08:27.62,2025-03-04T15:08:27.6254208-05:00,2025-03-04T20:08:27.6254208Z,,v3,471496,471355,,"Manley, Nathan",1000093427,Right,WRI_RAI,877dd838-fd6d-4d28-b8b8-9cb91fa60d1e,54.14349,-130.71502,11.77112,5.83293,-3.07116,-9.57257,1.95921,-9.65583,4.00592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-04,15:08:40.67,2,6,"Lax, Chet",1000147384,Left,WRI_RAI,"Zarlingo, Anthony",1000113533,Right,MIA_RED,Undefined,1,Top,1,3,2,Fastball,,InPlay,Undefined,FlyBall,Out,1,0,,88.85717,-2.302401,3.008811,2326.60124,,,6.04006,-2.00659,6.44509,,,,3.18471,0.74657,81.37653,-4.079659,2.97821,0.423642,100.24698,36.54624,-25.030174,3714.15457,,,,,132.23363,,,0.91043,14.51957,1.79304,50,5.87224,-6.77383,-128.99505,-5.33207,1.53684,26.37355,-7.66464,WRI_RAI,MIA_RED,NischwitzField,D1,HORZ,20250304-NischwitzField-1,77b57110-f934-11ef-80d2-3f9c0b8cf34f,88.97234,98.27574,,7.48065,,,,1.50569,2.98838,-0.39622,fc0452f6-1165-4dd0-b135-24a75f06824f,2025-03-04,20:08:40.67,2025-03-04T15:08:40.6765056-05:00,2025-03-04T20:08:40.6765056Z,,v3,471496,471355,,"Manley, Nathan",1000093427,Right,WRI_RAI,6602985e-eb5e-4111-be6a-bb170ebe4564,54.05754,-129.82198,13.18678,6.03566,-5.09175,-3.83232,2.00618,-6.82201,0.76842,162.12164,1.50569,107.02617,-33.36153,9.99962,-2.59655,0.63051,-0.13766,0.02254,-0.00191,2.98838,87.55139,-17.23139,-0.77139,0.89128,-0.37526,0.11135,-0.0223,0.00224,-0.39622,-49.97578,7.14333,-1.1386,0.06107,0.03914,-0.01918,0.00479,-0.00055,,,,,,,,,,,,,,,,,,,,,,,Low,Low,Low,High,Undefined,,,
9,2025-03-04,15:09:14.08,3,1,"Lax, Chet",1000147384,Left,WRI_RAI,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,2,0,0,ChangeUp,Changeup,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,78.41718,-0.647554,2.484748,1712.853197,110.706082,9:45,5.82248,-2.27697,6.27506,-38.39888,5.20807,-11.12497,2.02505,-0.91206,73.98384,-7.714051,0.472611,0.47528,,,,,,,,,,,,6.35418,3.1298,2.09881,50,5.75529,-4.59126,-114.22868,-2.39709,8.6303,15.52028,-27.92315,WRI_RAI,MIA_RED,NischwitzField,D1,HORZ,20250304-NischwitzField-1,8bae8260-f934-11ef-80d2-3f9c0b8cf34f,79.3058,,,4.43334,,,,,,,fc0452f6-1165-4dd0-b135-24a75f06824f,2025-03-04,20:09:14.08,2025-03-04T15:09:14.0835840-05:00,2025-03-04T20:09:14.0835840Z,,v3,471496,471355,,"Manley, Nathan",1000093427,Right,WRI_RAI,3e64ddfb-3ae7-4931-9164-d4b17d526915,54.231,-114.80211,7.76014,5.82479,-1.36542,-13.96157,2.27433,-4.91013,4.31515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-04,15:09:31.40,3,2,"Lax, Chet",1000147384,Left,WRI_RAI,"Appelwick, Evan",695485,Right,MIA_RED,Undefined,1,Top,2,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,78.70653,-1.000846,2.733057,1729.679838,132.079737,10:30,5.72106,-2.16693,6.57518,-35.37297,8.05233,-7.593,1.85479,-0.29265,73.22902,-7.591831,1.353025,0.474289,106.40652,28.152701,-13.975485,2740.257641,106.39197,58.55781,-27.94079,356.23834,325.72585,-26.36665,5.491634,4.68666,4.83953,1.98224,50,5.63711,-5.21937,-114.49209,-2.95168,6.29865,18.66368,-25.66994,WRI_RAI,MIA_RED,NischwitzField,D1,HORZ,20250304-NischwitzField-1,95fa7710-f934-11ef-80d2-3f9c0b8cf34f,79.47151,91.31197,,5.47751,,,,1.49998,1.95811,0.34467,fc0452f6-1165-4dd0-b135-24a75f06824f,2025-03-04,20:09:31.40,2025-03-04T15:09:31.4027008-05:00,2025-03-04T20:09:31.4027008Z,FlyBall,v3,471496,471355,,"Manley, Nathan",1000093427,Right,WRI_RAI,7ccb56dd-5cb9-4e7b-abf5-614236135840,53.92865,-115.13073,9.33184,5.72308,-2.0733,-12.83497,2.16452,-5.4349,3.14932,176.237444,1.50388,133.4629,-32.62827,7.61512,-1.46302,0.21798,-0.02861,0.00312,-0.00016,1.95679,73.64411,-16.24322,0.15198,0.25587,-0.10414,0.02574,-0.00326,0.00016,0.34655,-33.2717,7.15876,-3.88693,1.24416,-0.27882,0.04177,-0.00357,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
