PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-11,13:16:36.28,1,1,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.01491,0.3397,4.645236,2142.922837,108.967018,9:45,4.06635,-2.45166,6.18523,-27.12675,6.58638,-15.84288,2.12049,0.52668,82.50449,-4.740913,1.798392,0.417898,,,,,,,,,,,,9.51871,3.65925,2.1081,50,4.0785,-10.03555,-131.81305,-0.1176,16.6359,29.7525,-25.77878,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250511-McKieFieldStad-1,b203ca10-2e8b-11f0-aaa7-b3296f8ab1a3,90.19522,,,8.51042,,,,,,,c43e26c5-efb3-46bb-90fe-618a2b5683fa,2025-05-11,17:16:36.28,2025-05-11T13:16:36.2847744-04:00,2025-05-11T17:16:36.2847744Z,,v3,471355,akron,11 May 2025 13:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,e9f18ab9-fe32-4bde-99bf-397997558d3a,54.31171,-132.78271,14.87625,4.06865,0.72255,-12.88939,2.444,-10.57773,8.31795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-11,13:16:54.05,1,2,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.93222,0.452308,4.250079,2128.170361,128.601147,10:15,4.37332,-2.30677,6.31594,-20.42639,12.27918,-14.05595,3.08888,0.44369,83.61196,-3.422281,1.71716,0.411607,,,,,,,,,,,,8.46689,6.56768,2.00153,50,4.39664,-9.31348,-133.27905,0.43853,15.19842,29.19105,-20.3848,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250511-McKieFieldStad-1,bc752110-2e8b-11f0-aaa7-b3296f8ab1a3,91.57393,,,8.32025,,,,,,,c43e26c5-efb3-46bb-90fe-618a2b5683fa,2025-05-11,17:16:54.05,2025-05-11T13:16:54.0545024-04:00,2025-05-11T17:16:54.0545024Z,,v3,471355,akron,11 May 2025 13:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,e1e0fe07-dccb-4954-bd4c-67835ba8fef8,54.181,-134.19166,14.59552,4.37297,1.07583,-10.1924,2.30013,-9.78864,7.59921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-11,13:17:12.20,1,3,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.37552,0.492314,3.557071,2404.14442,292.328879,3:45,4.29216,-2.42402,5.86025,-47.55215,-4.72366,14.96627,0.78774,2.132,74.28374,-8.216115,6.232603,0.471018,,,,,,,,,,,,-6.55752,-2.18496,2.12641,50,4.3045,-7.90506,-117.94607,-0.55749,-9.11138,25.28759,-35.20995,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250511-McKieFieldStad-1,c764a8c0-2e8b-11f0-aaa7-b3296f8ab1a3,80.02329,,,7.09178,,,,,,,c43e26c5-efb3-46bb-90fe-618a2b5683fa,2025-05-11,17:17:12.20,2025-05-11T13:17:12.2073600-04:00,2025-05-11T17:17:12.2073600Z,,v3,471355,akron,11 May 2025 13:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,7dfe46e6-54d9-436f-8e6b-a1c7dbf282f7,54.63914,-118.93654,12.6438,4.29932,0.82162,-17.60497,2.42905,-7.54818,-4.55569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-11,13:17:34.82,1,4,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.69123,-0.571114,4.411706,2189.734395,117.142643,10:00,4.31446,-2.41825,6.30285,-24.99946,7.53839,-12.87103,1.70343,0.58169,84.52421,-5.237944,2.092513,0.41055,64.96039,33.096217,-124.824276,5389.039646,,,,,31.36161,,,7.81552,4.35603,2.09999,50,4.26033,-9.74689,-133.06951,-2.14276,14.14766,25.99879,-24.28873,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250511-McKieFieldStad-1,d4efe9f0-2e8b-11f0-aaa7-b3296f8ab1a3,91.80968,19.55032,,7.16702,,,,0.03237,1.70975,-0.72933,c43e26c5-efb3-46bb-90fe-618a2b5683fa,2025-05-11,17:17:34.82,2025-05-11T13:17:34.8269056-04:00,2025-05-11T17:17:34.8269056Z,,v3,471355,akron,11 May 2025 13:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,dc72b008-771d-47d0-aeed-2f271ce7bdf9,54.1969,-133.88698,12.99939,4.3157,-1.37907,-12.14437,2.41345,-10.19173,7.07383,,0.03347,-45.61768,0.13675,,,,,,,1.71265,51.92818,-18.2125,,,,,,,-0.73417,-65.361,8.00922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2025-05-11,13:17:59.13,1,5,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,1,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.39533,1.149651,2.613495,2331.21705,307.704982,4:15,4.3415,-2.46111,5.8097,-48.62014,-5.28772,8.51591,1.36014,0.68052,74.0758,-7.743173,4.137847,0.473781,64.31893,-19.04568,76.520252,,,,,5.20977,4.31425,38.288831,0.047717,-3.66201,-2.70933,2.24149,50,4.40645,-5.64739,-116.75397,0.74658,-5.05558,21.9494,-35.91442,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250511-McKieFieldStad-1,e35fbec0-2e8b-11f0-aaa7-b3296f8ab1a3,79.55661,1.47254,,6.31953,,,,3.09484,1.47254,-0.91989,c43e26c5-efb3-46bb-90fe-618a2b5683fa,2025-05-11,17:17:59.13,2025-05-11T13:17:59.1370752-04:00,2025-05-11T17:17:59.1370752Z,GroundBall,v3,471355,akron,11 May 2025 13:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,ebb4e14c-3e23-47ae-b365-529ba8059fe7,54.69137,-117.63263,10.9747,4.34779,2.18428,-17.95721,2.4635,-5.44501,-2.52779,180,3.09445,20.83736,,,,,,,,1.47312,-30.85977,,,,,,,,-0.92154,86.92918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-05-11,13:18:25.73,1,6,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.89689,-0.893064,5.853768,2159.308862,120.686827,10:00,4.44402,-2.24758,6.37666,-22.6845,9.89111,-14.98465,1.72765,1.90801,84.26245,-5.153782,3.160174,0.410788,,,,,,,,,,,,9.33402,5.69922,1.83076,50,4.3687,-13.02744,-133.01586,-2.79163,16.81573,27.05122,-21.90661,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250511-McKieFieldStad-1,f338e790-2e8b-11f0-aaa7-b3296f8ab1a3,91.75648,,,7.63444,,,,,,,c43e26c5-efb3-46bb-90fe-618a2b5683fa,2025-05-11,17:18:25.73,2025-05-11T13:18:25.7352192-04:00,2025-05-11T17:18:25.7352192Z,,v3,471355,akron,11 May 2025 13:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,8719b4df-ce54-4f63-ab5c-6e73c82f8502,54.12223,-133.85156,13.52561,4.44449,-2.11486,-10.95331,2.24124,-13.54694,8.40787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-05-11,13:18:44.30,1,7,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Poist, Jack",1000213165,Left,AKR_ZIP,Undefined,1,Top,0,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,92.41157,-0.75287,5.528333,2153.720046,116.828717,10:00,4.36245,-2.36629,6.22096,-23.97962,8.74941,-15.09934,1.66617,1.49243,83.84077,-5.257008,2.819363,0.411754,70.3296,-10.556123,-7.803174,,,,,8.63157,8.63157,-17.642872,0.077942,9.46304,5.08374,1.95888,50,4.29397,-12.30265,-133.67122,-2.54468,17.01365,30.51508,-23.03394,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250511-McKieFieldStad-1,fe517b10-2e8b-11f0-aaa7-b3296f8ab1a3,91.54112,1.47573,,8.57079,,,,0.37987,1.47573,-1.54091,c43e26c5-efb3-46bb-90fe-618a2b5683fa,2025-05-11,17:18:44.30,2025-05-11T13:18:44.3071488-04:00,2025-05-11T17:18:44.3071488Z,GroundBall,v3,471355,akron,11 May 2025 13:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,60e93e9e-b1e9-4e56-ab07-303bda03c119,54.27691,-134.64404,15.25754,4.36339,-1.81036,-11.51697,2.35973,-12.84504,8.50682,180,0.37742,100.6607,,,,,,,,1.47619,-18.93368,,,,,,,,-1.54057,-13.79448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-05-11,13:19:23.40,2,1,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Bowman, Max",1000235230,Right,AKR_ZIP,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.55787,-0.435579,3.761132,2104.066427,111.169553,9:45,4.30262,-2.38274,6.21802,-25.42663,8.85075,-19.58265,1.78092,-0.53896,81.38606,-5.237166,0.231863,0.421381,,,,,,,,,,,,11.30111,5.10004,2.10992,50,4.2575,-7.78953,-131.18192,-1.81183,19.35082,32.2462,-23.44129,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250511-McKieFieldStad-1,15c24e00-2e8c-11f0-aaa7-b3296f8ab1a3,89.44973,,,9.17181,,,,,,,c43e26c5-efb3-46bb-90fe-618a2b5683fa,2025-05-11,17:19:23.40,2025-05-11T13:19:23.4046464-04:00,2025-05-11T17:19:23.4046464Z,,v3,471355,akron,11 May 2025 13:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,af3d6cb4-aa8c-4ee9-8818-dea4417b81c6,54.27786,-132.22929,16.1231,4.30398,-1.05045,-11.72065,2.37314,-8.41805,9.67541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-11,13:19:44.19,2,2,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Bowman, Max",1000235230,Right,AKR_ZIP,Undefined,1,Top,1,0,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,92.77341,-0.223103,3.63072,2166.909387,121.014648,10:00,4.54282,-2.27672,6.39032,-22.94167,9.23461,-13.52871,2.4254,-0.06022,84.01366,-4.563648,1.18556,0.408262,86.29309,38.740552,-12.188695,3367.040948,,,,,244.87683,,,8.22071,5.20107,2.02173,50,4.51618,-7.99124,-134.57676,-1.24193,14.9272,31.89848,-22.72997,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250511-McKieFieldStad-1,21f48ee0-2e8c-11f0-aaa7-b3296f8ab1a3,92.32407,74.84925,,8.75975,,,,3.13987,3.17837,0.06506,c43e26c5-efb3-46bb-90fe-618a2b5683fa,2025-05-11,17:19:44.19,2025-05-11T13:19:44.1980416-04:00,2025-05-11T17:19:44.1980416Z,,v3,471355,akron,11 May 2025 13:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,4a9610a9-0316-40a5-b735-4d82f30583f3,54.10813,-135.547,15.94924,4.54345,-0.55056,-11.36499,2.2717,-8.44528,7.4636,182.735731,3.13987,96.4914,-16.64241,3.88027,-0.56616,-0.25187,0.30582,-0.11983,0.0155,3.17836,79.20374,-19.36248,1.67055,-0.67617,0.66995,-0.48988,0.16749,-0.01858,0.06506,-20.84216,4.0911,-0.97277,0.1275,0.09301,-0.10077,0.03846,-0.00483,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2025-05-11,13:20:25.75,3,1,"Cuthbertson, Hayden",1000251883,Left,MIA_RED,"Horvath, Andrew",1000119909,Right,AKR_ZIP,Undefined,1,Top,2,0,0,Fastball,Sinker,InPlay,Undefined,Popup,FieldersChoice,1,0,,91.8589,-0.31226,3.427288,2186.76957,117.568332,10:00,4.4864,-2.19468,6.36112,-22.85308,9.81359,-16.75584,2.29409,-0.43318,83.62422,-4.628074,0.398781,0.411362,80.90678,69.461555,7.323101,,,,,,42.40718,,,9.76662,5.51823,1.95413,50,4.45304,-7.31003,-133.34459,-1.43875,17.51318,29.76236,-22.27893,MIA_RED,AKR_ZIP,McKieFieldStad,D1,MAC,20250511-McKieFieldStad-1,3abe8930-2e8c-11f0-aaa7-b3296f8ab1a3,91.6285,116.90618,,8.23469,,,,2.34363,1.64671,0.02525,c43e26c5-efb3-46bb-90fe-618a2b5683fa,2025-05-11,17:20:25.75,2025-05-11T13:20:25.7503232-04:00,2025-05-11T17:20:25.7503232Z,,v3,471355,akron,11 May 2025 13:00-akron@miamioh,"Novak, David",1000076952,Right,MIA_RED,bbdcd386-2164-4f3a-b2a8-4312baf439d0,54.13796,-134.265,14.88118,4.48689,-0.74977,-11.13947,2.18857,-7.85163,8.75659,186.473566,2.34366,41.28779,-16.18515,5.03723,-1.23429,0.69537,-0.57137,0.2562,-0.04453,1.6467,111.12187,-27.15948,3.06894,-0.53086,-0.00418,0.11096,-0.06258,0.01171,0.02525,5.30735,1.60608,-0.70543,0.20296,-0.13286,0.11552,-0.05263,0.00921,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
