pitcher,strike_pct,zone_pct,chase_pct,swing_pct,called_strike_pct,miss_pct,in_zone_miss_pct,out_zone_miss_pct,xbabip,gb_pct,strike_pct_pct,zone_pct_pct,chase_pct_pct,swing_pct_pct,called_strike_pct_pct,miss_pct_pct,in_zone_miss_pct_pct,out_zone_miss_pct_pct,xbabip_pct,gb_pct_pct
"ACKER, Trey",0.2857142857142857,0.47619047619047616,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.8359960305765033,0.047619047619047616,17.494450610432853,95.62985571587126,0.0,26.62319644839068,20.810210876803552,88.98446170921198,99.32019977802442,0.0,96.99638989169675,25.86015538290788
"Abadie, Connor",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,99.94450610432852,0.0,99.98612652608213,100.0,0.0,0.0,0.0,0.0,,0.0
"Abbott, Levi",0.35714285714285715,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,,0.0,40.288568257491676,4.328523862375139,27.594339622641513,57.685904550499444,20.810210876803552,31.659267480577135,0.0,71.32352941176471,,0.0
"Abell, Mark",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,99.87513873473918,0.0,0.0,0.0,0.0,0.0,0.0,,99.9583795782464
"Abernathy, Ben",0.35185185185185186,0.2962962962962963,0.16666666666666666,0.12962962962962962,0.2222222222222222,0.05555555555555555,0.018518518518518517,0.037037037037037035,0.31991975668851275,0.09259259259259259,38.457269700332965,17.702552719200888,45.24139844617092,23.043840177580467,87.5,20.061043285238625,26.248612652608212,26.997780244173143,11.855595667870036,80.13318534961155
"Abler, Andrew",0.19047619047619047,0.2857142857142857,0.0,0.047619047619047616,0.14285714285714285,0.0,0.0,0.0,0.37111900073624277,0.047619047619047616,3.9400665926748055,14.705882352941178,0.0,5.757491675915649,20.810210876803552,0.0,0.0,0.0,18.642599277978338,25.86015538290788
"Abraham, John",0.5111111111111111,0.35,0.24444444444444444,0.23333333333333334,0.2777777777777778,0.17777777777777778,0.044444444444444446,0.13333333333333333,0.754245022464132,0.03333333333333333,97.32241953385127,41.77302996670366,92.17536071032187,67.84128745837957,97.18368479467259,96.37902330743619,70.31076581576026,97.41953385127637,95.24909747292418,14.317425083240842
"Abraham, Ty",0.3541666666666667,0.34375,0.16666666666666666,0.14583333333333334,0.20833333333333334,0.08333333333333333,0.010416666666666666,0.07291666666666667,0.12278301601554412,0.08333333333333333,39.164816870144286,38.20754716981132,45.24139844617092,27.913429522752498,81.34017758046615,42.522197558268594,18.770810210876803,73.52941176470588,3.292418772563177,70.8795782463929
"Absher, Luke",0.6363636363636364,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.5454545454545454,0.0,0.0,0.0,,0.09090909090909091,99.73640399556048,93.13263041065483,59.003884572697004,13.013318534961154,99.9583795782464,0.0,0.0,0.0,,77.9966703662597
"Abshier, Randy",0.6666666666666666,0.1111111111111111,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,,0.0,99.76415094339622,0.8324084350721421,99.90288568257492,99.62541620421753,87.5,98.73751387347392,0.0,99.59766925638179,,0.0
"Ackerman, James",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
"Ackerman, Jess",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,99.94450610432852,99.87513873473918,0.0,0.0,99.98612652608213,0.0,0.0,0.0,,0.0
"Ackermann, Dylan",0.42857142857142855,0.5714285714285714,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.7109671360807127,0.14285714285714285,76.70643729189788,99.13984461709212,0.0,0.0,99.7780244173141,0.0,0.0,0.0,93.6606498194946,96.47613762486127
"Acosta, Angel",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
"Acosta, Jaykob",0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.9371273091245587,0.0,10.61320754716981,96.79522752497225,0.0,76.165371809101,0.0,0.0,0.0,0.0,98.4115523465704,0.0
"Acosta, Joey",0.26666666666666666,0.4,0.13333333333333333,0.16666666666666666,0.1,0.16666666666666666,0.06666666666666667,0.1,0.1675654150664701,0.03333333333333333,13.665371809100998,74.09822419533852,22.50277469478357,34.23973362930078,5.826859045504994,94.72807991120976,90.76026637069923,90.92674805771365,4.332129963898916,14.317425083240842
"Acosta, Joseph",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
"Adams, Ayden",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
"Adams, Ben",0.2,0.2,0.1,0.0,0.2,0.0,0.0,0.0,0.07859219429908976,0.1,4.273029966703663,3.0799112097669257,10.3496115427303,0.0,75.16648168701443,0.0,0.0,0.0,2.382671480144404,84.68368479467259
"Adams, Brandon",0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,,0.3333333333333333,99.76415094339622,31.215316315205328,98.58490566037736,96.40677025527192,98.72364039955605,99.70865704772474,0.0,99.83351831298557,,99.76415094339622
"Adams, Bryce",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
"Adams, Chase",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,99.94450610432852,99.87513873473918,0.0,0.0,99.98612652608213,0.0,0.0,0.0,,0.0
"Adams, Chris",0.3333333333333333,0.36666666666666664,0.06666666666666667,0.13333333333333333,0.2,0.03333333333333333,0.0,0.03333333333333333,0.6711256457857413,0.1,30.382907880133185,52.427857935627074,4.703107658157603,23.931742508324085,75.16648168701443,9.91953385127636,0.0,23.58490566037736,91.5667870036101,84.68368479467259
"Adams, Connor",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,99.94450610432852,99.87513873473918,0.0,100.0,0.0,0.0,0.0,0.0,,0.0
"Adams, Wyatt",0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,,0.0,10.61320754716981,7.3668146503884575,0.0,0.0,93.81243063263041,0.0,0.0,0.0,,0.0
"Adams, Zane",0.43018867924528303,0.3849056603773585,0.19245283018867926,0.22641509433962265,0.2037735849056604,0.1471698113207547,0.033962264150943396,0.11320754716981132,0.4213285485302406,0.06037735849056604,77.76082130965594,65.17758046614873,67.99389567147614,64.22031076581575,78.98168701442842,90.80188679245283,51.7480577136515,94.88068812430632,30.801444043321304,41.99500554938957
"Adcock, Cody",0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.11781890646516356,0.0,0.0,31.215316315205328,0.0,0.0,0.0,0.0,0.0,0.0,3.1624548736462095,0.0
"Adelmann, Jonathan",0.5714285714285714,0.5714285714285714,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,,0.0,99.15371809100999,99.13984461709212,0.0,99.5144284128746,20.810210876803552,88.98446170921198,99.32019977802442,0.0,,0.0
"Adema, Gibson",0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.5,95.67147613762486,99.87513873473918,0.0,99.7780244173141,0.0,0.0,0.0,0.0,,99.90288568257492
"Adler, Grant",0.25,0.375,0.0,0.125,0.125,0.0,0.0,0.0,,0.0,10.61320754716981,57.39456159822419,0.0,21.43451720310766,12.083795782463929,0.0,0.0,0.0,,0.0
"Aduddle, Bryan",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,99.94450610432852,99.87513873473918,0.0,0.0,99.98612652608213,0.0,0.0,0.0,,0.0
"Agemy, Cole",0.36363636363636365,0.25757575757575757,0.16666666666666666,0.2727272727272727,0.09090909090909091,0.15151515151515152,0.045454545454545456,0.10606060606060606,0.4114527308344118,0.015151515151515152,43.20199778024417,9.239733629300776,45.24139844617092,85.59933407325194,4.495005549389567,92.0227524972253,71.7258601553829,93.20199778024417,27.884476534296027,7.838512763596005
"Ager, Matt",0.40350877192982454,0.2807017543859649,0.21052631578947367,0.14035087719298245,0.2631578947368421,0.08771929824561403,0.017543859649122806,0.07017543859649122,0.3626751990217818,0.0,64.24805771365149,13.873473917869033,79.48113207547169,26.19311875693674,96.01831298557158,46.87846836847947,25.083240843507216,70.0749167591565,17.12635379061372,0.0
"Agosto, Justus",0.375,0.625,0.0,0.25,0.125,0.0,0.0,0.0,0.5412002380604422,0.0,48.626526082130965,99.45893451720312,0.0,76.165371809101,12.083795782463929,0.0,0.0,0.0,73.83393501805054,0.0
"Aiello, Christian",0.3181818181818182,0.4090909090909091,0.22727272727272727,0.18181818181818182,0.13636363636363635,0.045454545454545456,0.0,0.045454545454545456,0.5422707341667358,0.09090909090909091,26.054384017758046,79.5227524972253,87.7219755826859,40.69089900110988,17.23085460599334,14.372918978912319,0.0,37.20865704772475,74.05054151624549,77.9966703662597
"Aiken, Davis",0.5,0.3,0.3,0.1,0.4,0.1,0.0,0.1,0.5742555590803347,0.0,95.67147613762486,18.465593784683684,97.62763596004439,14.886237513873473,99.72253052164261,58.93451720310766,0.0,90.92674805771365,80.51985559566786,0.0
"Aita, Blake",0.4117647058823529,0.29411764705882354,0.20588235294117646,0.23529411764705882,0.17647058823529413,0.14705882352941177,0.029411764705882353,0.11764705882352941,0.38779906515533313,0.029411764705882353,68.29911209766925,17.050499445061043,76.88679245283019,68.85405105438402,52.58046614872364,90.71864594894562,43.25749167591565,95.57436182019978,21.87725631768953,12.278024417314096
"Aivazian, Robert",0.42857142857142855,0.21428571428571427,0.2619047619047619,0.21428571428571427,0.21428571428571427,0.11904761904761904,0.023809523809523808,0.09523809523809523,0.8626177721935737,0.07142857142857142,76.70643729189788,4.328523862375139,95.22752497225305,57.685904550499444,84.14261931187569,76.81742508324085,32.90788013318535,88.90122086570477,97.41516245487365,56.562153163152054
"Akens, Ollie",0.375,0.375,0.125,0.125,0.25,0.0,0.0,0.0,0.6869364002783496,0.0625,48.626526082130965,57.39456159822419,18.38235294117647,21.43451720310766,93.81243063263041,0.0,0.0,0.0,92.46209386281589,44.29800221975583
"Albanese, Tyler",0.29411764705882354,0.4117647058823529,0.058823529411764705,0.09803921568627451,0.19607843137254902,0.058823529411764705,0.0,0.058823529411764705,0.4228910770978813,0.058823529411764705,19.54772475027747,80.89622641509435,3.9123196448390676,14.66426193118757,73.08546059933407,22.14206437291898,0.0,55.549389567147614,31.379061371841154,39.33129855715871
"Alberghini, Kaden",0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,96.79522752497225,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
"Alberini, Hunter",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
"Albert, Eddie",0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,,0.0,30.382907880133185,31.215316315205328,45.24139844617092,34.23973362930078,40.92674805771365,0.0,0.0,0.0,,0.0
"Albro, Jake",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
"Albus, Dash",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.1455731874805887,0.0,30.382907880133185,31.215316315205328,98.58490566037736,0.0,98.72364039955605,0.0,0.0,0.0,3.84115523465704,0.0
"Alderman, Chandler",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99.9583795782464
"Aldmon, Carter",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
"Alduino, Matthew",0.4,0.4,0.0,0.0,0.4,0.0,0.0,0.0,,0.0,61.63984461709212,74.09822419533852,0.0,0.0,99.72253052164261,0.0,0.0,0.0,,0.0
"Alegre, Joe",0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.14290968704122303,0.16666666666666666,30.382907880133185,99.62541620421753,0.0,34.23973362930078,40.92674805771365,94.72807991120976,99.56992230854605,0.0,3.7978339350180503,97.90510543840178
